Voltage (V),Current (A),Power (W),Anode Flow (mg/s),Cathode Flow (mg/s),Cathode,Cathode Fraction,Thrust,Specific impulse (s),Efficiency,Facility Pressure (Pa)
300,3.01,903,3.45,0.26,3.71,0.071,44.3,1220,0.293,0.0014
300,3.25,975,3.87,0.26,4.13,0.064,58.8,1450,0.43,0.0015
300,3.51,1050,4.17,0.26,4.43,0.06,64.1,1480,0.441,0.0015
299,3.75,1120,4.42,0.26,4.68,0.057,68.6,1490,0.448,0.0016
299,3.97,1190,4.66,0.27,4.93,0.055,72.8,1510,0.453,0.0016
299,4.25,1270,4.93,0.26,5.19,0.05,78.2,1540,0.464,0.0017
299,4.5,1350,5.18,0.26,5.44,0.047,82.7,1550,0.467,0.0018
299,4.75,1420,5.42,0.26,5.68,0.047,86.6,1550,0.464,0.0018
299,4.98,1490,5.64,0.26,5.91,0.045,91.7,1580,0.478,0.0019
301,4.27,1280,4.96,0.26,5.22,0.051,77.8,1520,0.452,0.0017
300,3.01,904,3.55,0.5,4.05,0.12,54.5,1370,0.405,0.0014
300,3.24,973,3.8,0.5,4.3,0.12,59.6,1410,0.425,0.0014
300,3.49,1050,4.08,0.5,4.59,0.11,65.1,1450,0.441,0.0015
300,3.75,1130,4.37,0.5,4.86,0.1,70.6,1480,0.455,0.0015
300,4.08,1220,4.7,0.5,5.2,0.097,77.4,1520,0.47,0.0016
300,4.5,1350,5.12,0.5,5.62,0.089,85.7,1550,0.484,0.0017
300,5,1500,5.62,0.5,6.12,0.081,95.4,1590,0.496,0.0018
300,4.08,1220,4.7,0.5,5.2,0.097,76.8,1510,0.464,0.0016
300,3,901,3.35,1,4.38,0.24,52.5,1220,0.349,0.0015
300,3.26,979,3.67,1,4.7,0.22,60.6,1310,0.399,0.0016
300,3.48,1050,3.91,1,4.94,0.21,64.4,1330,0.401,0.0017
301,3.77,1130,4.16,1,5.19,0.2,64.9,1270,0.358,0.0018
300,4,1200,4.38,1,5.42,0.19,68.4,1290,0.359,0.0019
300,4.24,1270,4.64,1,5.68,0.18,73.7,1320,0.375,0.0019
300,4.5,1350,5,1,6.03,0.17,86.9,1470,0.463,0.0018
300,4.75,1430,5.23,1,6.27,0.17,92,1500,0.474,0.0019
300,4.98,1490,5.45,1,6.48,0.16,96.5,1520,0.481,0.002
300,3.72,1120,4.17,1,5.2,0.2,69.1,1350,0.411,0.0017
250,5.02,1260,5.55,0.26,5.82,0.045,76,1330,0.396,0.0021
250,4.74,1190,5.3,0.26,5.57,0.047,72.8,1330,0.402,0.002
250,4.51,1130,5.1,0.26,5.37,0.049,70,1330,0.405,0.0019
250,4.32,1080,4.94,0.26,5.21,0.051,68.1,1330,0.413,0.0018
250,4,1000,4.64,0.26,4.91,0.054,64,1330,0.417,0.0018
250,3.75,937,4.41,0.26,4.67,0.057,61.1,1330,0.426,0.0017
250,3.5,674,4.17,0.26,4.43,0.06,57.4,1320,0.425,0.0016
250,3.25,812,3.89,0.26,4.16,0.064,52.4,1290,0.406,0.0015
250,2.98,744,3.61,0.26,3.87,0.068,47.5,1250,0.392,0.0015
250,4.31,1080,4.93,0.26,5.2,0.051,67.4,1320,0.406,0.0019
250,4.95,1240,5.53,0.5,6.03,0.083,83.7,1410,0.468,0.002
250,4.75,1190,5.35,0.5,5.86,0.086,80.2,1400,0.462,0.0019
250,4.49,1120,5.12,0.5,5.62,0.089,76.2,1380,0.46,0.0019
250,4.24,1060,4.87,0.5,5.37,0.094,72.2,1370,0.457,0.0018
250,4.07,1020,4.71,0.5,5.2,0.095,68.7,1350,0.446,0.0018
250,3.75,938,4.38,0.5,4.89,0.1,63.5,1330,0.441,0.0017
250,3.5,874,4.12,0.5,4.63,0.11,59.1,1300,0.431,0.0016
250,3.25,812,3.83,0.5,4.33,0.11,54.3,1280,0.42,0.0015
250,3.01,752,3.58,0.5,4.07,0.12,50,1250,0.408,0.0015
250,4.07,1020,4.71,0.5,5.21,0.1,69,1350,0.449,0.0018
201,4.99,1000,5.51,0.26,5.78,0.046,62.5,1100,0.337,0.0022
201,4.76,955,5.3,0.26,5.57,0.047,60.2,1100,0.341,0.0022
201,4.5,903,5.05,0.26,5.31,0.049,58.4,1120,0.355,0.0021
201,4.25,853,4.82,0.26,5.08,0.051,55.9,1120,0.362,0.0019
201,4.01,805,4.59,0.26,4.86,0.054,53.1,1110,0.36,0.0019
201,3.74,751,4.34,0.26,4.61,0.057,50.5,1120,0.368,0.0018
201,3.48,698,4.11,0.26,4.37,0.06,47.1,1100,0.364,0.0017
201,3.25,652,3.87,0.26,4.14,0.064,43.5,1070,0.351,0.0016
201,2.98,598,3.61,0.26,3.87,0.068,40,1050,0.345,0.0015
201,4.98,998,5.48,0.5,5.98,0.083,70.4,1200,0.416,0.0021
201,4.73,948,5.25,0.5,5.74,0.086,67.3,1190,0.415,0.002
201,4.49,900,5.05,0.5,5.54,0.089,64.1,1180,0.412,0.002
201,4.24,851,4.81,0.5,5.31,0.093,60.7,1170,0.408,0.0019
201,3.98,798,4.58,0.5,5.07,0.098,57.4,1150,0.407,0.0018
201,3.75,752,4.36,0.5,4.85,0.1,54.2,1140,0.403,0.0018
201,3.49,700,4.08,0.5,4.57,0.11,50.1,1120,0.393,0.0017
201,3.25,652,3.83,0.5,4.33,0.11,46.5,1200,0.384,0.0016
201,2.99,599,3.56,0.5,4.06,0.12,42.5,1070,0.371,0.0015
